"BehaviorSpace results (NetLogo 6.1.0)"
"QVoting-DynamicPivotality.nlogo"
"Is payoff > 0 for a varied p?"
"07/02/2019 14:58:23:971 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","40"
"[run number]","number-of-voters","marginal-pivotality","voice-credits-given-per-tick","stdev-of-utilities","limit-votes?","variance-of-perceived-pivotality","mean-of-utilities","[step]","precision variance-of-perceived-pivotality 4","sum-of-votes","sum-of-utilities","payoff >= 0"
"4","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"3","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"1","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"4","1000","0.3","0","5","false","0.25","0","1","0.0525","62.12612593861411","-72.74812331591706","false"
"2","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"1","1000","0.3","0","5","false","0.25","0","1","0.0525","41.90256573199986","229.70163898499663","true"
"3","1000","0.3","0","5","false","0.25","0","1","0.0525","-102.56996905090159","-192.67007259719736","true"
"2","1000","0.3","0","5","false","0.25","0","1","0.0525","-5.3040668235998965","-10.701993057032066","true"
"5","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"8","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"6","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"7","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"5","1000","0.3","0","5","false","0.25","0","1","0.0525","2.98400260289975","50.32039796052684","true"
"7","1000","0.3","0","5","false","0.25","0","1","0.0525","-73.26186544919346","-128.47813352856787","true"
"8","1000","0.3","0","5","false","0.25","0","1","0.0525","71.96297755239652","191.6086751824378","true"
"6","1000","0.3","0","5","false","0.25","0","1","0.0525","-20.258685248908137","40.89855454095608","false"
"9","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"11","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"9","1000","0.3","0","5","false","0.25","0","1","0.0525","138.13794186423058","369.61359300606904","true"
"11","1000","0.3","0","5","false","0.25","0","1","0.0525","18.13685115924659","136.75521136119738","true"
"12","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"12","1000","0.3","0","5","false","0.25","0","1","0.0525","-38.05963991676367","-5.117198185542721","true"
"10","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"10","1000","0.3","0","5","false","0.25","0","1","0.0525","8.423495494570489","-68.30817284396647","false"
"13","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"14","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"13","1000","0.3","0","5","false","0.25","0","1","0.0525","34.15265517793432","69.79688105037796","true"
"14","1000","0.3","0","5","false","0.25","0","1","0.0525","35.02875289224562","156.34301987721875","true"
"15","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"16","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"15","1000","0.3","0","5","false","0.25","0","1","0.0525","41.9767498835173","-3.8653441328879885","false"
"16","1000","0.3","0","5","false","0.25","0","1","0.0525","-54.480435784730275","33.40706463344747","false"
"18","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"17","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"18","1000","0.3","0","5","false","0.25","0","1","0.0525","-28.923388193323262","-17.8824453461757","true"
"17","1000","0.3","0","5","false","0.25","0","1","0.0525","56.151616556605404","82.6012311740891","true"
"19","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"20","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"19","1000","0.3","0","5","false","0.25","0","1","0.0525","-19.070865827384978","119.78137188475162","false"
"20","1000","0.3","0","5","false","0.25","0","1","0.0525","41.376811407596506","163.9702866451343","true"
"21","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"21","1000","0.3","0","5","false","0.25","0","1","0.0525","-59.28436079804442","-98.87634248634762","true"
"22","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
"22","1000","0.3","0","5","false","0.25","0","1","0.0525","-54.72115647342446","-360.4812381937231","true"
"24","1000","0.3","0","5","false","0.25","0","0","0.0525","0","0","true"
