[run number],number-of-voters,minority-fraction,majority-mean-utility,majority-utility-stdev,minority-mean-utility,minority-utility-stdev,marginal-pivotality,variance-of-perceived-pivotality,limit-votes?,payoff-include-votes-cost?,voting-mechanism,[step],mean payoff-sign-list,mean payoff-list,standard-deviation payoff-list,mean vote-sum-list,standard-deviation vote-sum-list,mean mean-median-same-sign-list
2,10,0,0,3,10,1,0.5,3.00E-04,FALSE,FALSE,QV,1000,0.985,7.511401764,5.709273305,-0.016388671,4.71807967,0.824
1,10,0,0,3,10,1,0.5,3.00E-04,FALSE,FALSE,1p1v,1000,0.78,5.425746118,7.052433132,0.006,3.086339173,0.823
3,10,0,0,3,10,1,0.5,0.001,FALSE,FALSE,1p1v,1000,0.763,5.339738293,7.693429344,-0.214,3.167370556,0.8
5,10,0,0,3,10,1,0.5,0.01,FALSE,FALSE,1p1v,1000,0.799,6.065235349,7.439300247,-0.032,3.227598704,0.828
4,10,0,0,3,10,1,0.5,0.001,FALSE,FALSE,QV,1000,0.976,7.424793395,5.644015503,0.241649395,4.678707827,0.819
7,10,0,0,3,10,1,0.5,0.02,FALSE,FALSE,1p1v,1000,0.775,5.811672731,7.730251223,0.07,3.131917769,0.831
6,10,0,0,3,10,1,0.5,0.01,FALSE,FALSE,QV,1000,0.936,7.361818769,5.810131724,-0.159399688,4.807308753,0.819
9,10,0,0,3,10,1,0.5,0.03,FALSE,FALSE,1p1v,1000,0.791,5.849101593,7.198117223,-0.118,3.134310115,0.83
8,10,0,0,3,10,1,0.5,0.02,FALSE,FALSE,QV,1000,0.931,7.606499122,6.200379913,-0.31929172,5.138571752,0.833
11,10,0,0,3,10,1,0.5,0.04,FALSE,FALSE,1p1v,1000,0.782,5.776700806,7.285864192,0.03,3.109464386,0.84
10,10,0,0,3,10,1,0.5,0.03,FALSE,FALSE,QV,1000,0.909,7.446287196,6.323122861,0.041014465,5.198655787,0.838
13,10,0,0,3,10,1,0.5,0.05,FALSE,FALSE,1p1v,1000,0.783,5.699729109,7.394980558,-0.124,3.157624834,0.819
12,10,0,0,3,10,1,0.5,0.04,FALSE,FALSE,QV,1000,0.899,7.164843042,6.272135315,0.0240879,5.124594348,0.838
15,10,0,0,3,10,1,0.5,0.06,FALSE,FALSE,1p1v,1000,0.77,5.64874368,7.456440769,0.01,3.122442898,0.806
14,10,0,0,3,10,1,0.5,0.05,FALSE,FALSE,QV,1000,0.871,6.952905795,6.609411211,-0.02772366,5.241449925,0.844
17,10,0,0,3,10,1,0.5,0.07,FALSE,FALSE,1p1v,1000,0.769,5.742100083,7.66325748,0.076,3.091242433,0.81
16,10,0,0,3,10,1,0.5,0.06,FALSE,FALSE,QV,1000,0.877,7.426112405,6.725011435,-0.056759335,5.414408185,0.837
19,10,0,0,3,10,1,0.5,0.08,FALSE,FALSE,1p1v,1000,0.8,6.246825345,7.18536285,-0.086,3.211061338,0.841
18,10,0,0,3,10,1,0.5,0.07,FALSE,FALSE,QV,1000,0.855,6.904630845,6.725275539,-0.44603234,5.418393555,0.829
21,10,0,0,3,10,1,0.5,0.083,FALSE,FALSE,1p1v,1000,0.797,5.920134055,7.268835437,-0.152,3.13858993,0.835
20,10,0,0,3,10,1,0.5,0.08,FALSE,FALSE,QV,1000,0.856,6.762068427,6.749422443,-0.028085248,5.592097915,0.805
23,10,0,0,6,10,1,0.5,3.00E-04,FALSE,FALSE,1p1v,1000,0.799,12.21372377,15.14507221,0.042,3.184395763,0.842
22,10,0,0,3,10,1,0.5,0.083,FALSE,FALSE,QV,1000,0.859,7.189296246,6.813798521,0.331503933,5.721271284,0.832
25,10,0,0,6,10,1,0.5,0.001,FALSE,FALSE,1p1v,1000,0.79,12.3789638,14.96618619,0.084,3.242754918,0.817
24,10,0,0,6,10,1,0.5,3.00E-04,FALSE,FALSE,QV,1000,0.989,14.4496223,11.11700348,0.276456571,9.118132521,0.851
26,10,0,0,6,10,1,0.5,0.001,FALSE,FALSE,QV,1000,0.988,15.43335387,11.59223952,0.10318433,9.639768548,0.846
27,10,0,0,6,10,1,0.5,0.01,FALSE,FALSE,1p1v,1000,0.8,12.10092124,14.87050545,0.158,3.199573921,0.842
29,10,0,0,6,10,1,0.5,0.02,FALSE,FALSE,1p1v,1000,0.755,11.00293986,15.14637015,-0.034,3.122273626,0.811
28,10,0,0,6,10,1,0.5,0.01,FALSE,FALSE,QV,1000,0.94,15.022087,12.43846162,0.208953592,10.04344561,0.837
31,10,0,0,6,10,1,0.5,0.03,FALSE,FALSE,1p1v,1000,0.792,11.56651602,14.91392095,-0.006,3.170807156,0.829
30,10,0,0,6,10,1,0.5,0.02,FALSE,FALSE,QV,1000,0.923,14.05522646,11.47762492,0.247450221,9.587354916,0.822
33,10,0,0,6,10,1,0.5,0.04,FALSE,FALSE,1p1v,1000,0.794,12.22828418,15.40127624,0.072,3.304199409,0.818
32,10,0,0,6,10,1,0.5,0.03,FALSE,FALSE,QV,1000,0.905,13.9082652,12.1733063,0.444140492,9.854595941,0.821
35,10,0,0,6,10,1,0.5,0.05,FALSE,FALSE,1p1v,1000,0.752,11.2257232,15.33947817,0.284,3.098539163,0.808
34,10,0,0,6,10,1,0.5,0.04,FALSE,FALSE,QV,1000,0.887,14.86138222,13.21148192,0.009360945,10.68405385,0.841
37,10,0,0,6,10,1,0.5,0.06,FALSE,FALSE,1p1v,1000,0.787,11.96663853,14.67306433,0.234,3.138007503,0.833
36,10,0,0,6,10,1,0.5,0.05,FALSE,FALSE,QV,1000,0.87,13.30784019,12.69913637,0.120051383,10.26566064,0.81
39,10,0,0,6,10,1,0.5,0.07,FALSE,FALSE,1p1v,1000,0.779,10.99034541,14.360466,0.054,3.121991485,0.826
