"BehaviorSpace results (NetLogo 6.1.0)"
"QVoting with Polling.nlogo"
"does-polling-converge"
"08/05/2019 14:20:26:937 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-32","32","-32","32"
"[run number]","number-of-voters","proportion-of-strategic-voters","number-of-issues","poll-response-rate","utility-distribution","[step]","poll","total-utility-gain","maximal-utility?"
"5","1500","0.1","2","1","Normal mean = 0","50","[19.3618128581831 -24.403643316490623]","[0 0]","false"
"6","1500","0.1","2","1","Normal mean = 0","50","[8.457489498435141 -17.049034108908774]","[0 0]","false"
"11","1500","0.1","2","1","Normal mean = 0","50","[-28.58495808698849 26.173805927365013]","[0 0]","false"
"2","1500","0.1","2","1","Normal mean = 0","50","[3.941690468771837 -18.0402175797388]","[0 0]","false"
"7","1500","0.1","2","1","Normal mean = 0","50","[13.961940700267979 -16.620238363989202]","[0 0]","false"
"12","1500","0.1","2","1","Normal mean = 0","50","[-8.055751400634735 7.617451764350843]","[0 0]","false"
"1","1500","0.1","2","1","Normal mean = 0","50","[-15.332164273242075 1.4237624955067134]","[0 0]","false"
"3","1500","0.1","2","1","Normal mean = 0","50","[-24.888530340535024 -15.025536922405978]","[0 0]","false"
"9","1500","0.1","2","1","Normal mean = 0","50","[20.814193518358007 6.986373011220452]","[0 0]","false"
"8","1500","0.1","2","1","Normal mean = 0","50","[9.860162148206882 -24.311533958197934]","[0 0]","false"
"10","1500","0.1","2","1","Normal mean = 0","50","[27.396204901965994 2.4525672944267076]","[0 0]","false"
"4","1500","0.1","2","1","Normal mean = 0","50","[-17.498143139675314 17.99858417939505]","[0 0]","false"
"13","1500","0.1","2","1","Normal mean = 0","50","[-36.16472004300931 -3.2040811368713222]","[0 0]","false"
"14","1500","0.1","2","1","Normal mean = 0","50","[3.564778042956607 18.58391041348433]","[0 0]","false"
"15","1500","0.1","2","1","Normal mean = 0","50","[39.774361960084654 19.266682046776303]","[0 0]","false"
"16","1500","0.1","2","1","Normal mean = 0","50","[-4.560928729197016 15.907070014898721]","[0 0]","false"
"18","1500","0.1","2","1","Normal mean = 0","50","[-53.02301450813207 -13.016055132251592]","[0 0]","false"
"17","1500","0.1","2","1","Normal mean = 0","50","[8.08457441682772 37.46963809687677]","[0 0]","false"
"21","1500","0.1","2","1","Normal mean = 0","50","[52.273665939364115 -3.7912469171177223]","[0 0]","false"
"22","1500","0.1","2","1","Normal mean = 0","50","[-5.1296811560811895 -0.3382017040940707]","[0 0]","false"
"20","1500","0.1","2","1","Normal mean = 0","50","[54.112178085788116 -7.66929284580307]","[0 0]","false"
"24","1500","0.1","2","1","Normal mean = 0","50","[27.639835042701723 35.35512273689057]","[0 0]","false"
"19","1500","0.1","2","1","Normal mean = 0","50","[11.326767900231815 52.12376540254707]","[0 0]","false"
"23","1500","0.1","2","1","Normal mean = 0","50","[-15.34523584912226 26.65406508474845]","[0 0]","false"
"25","1500","0.1","2","1","Normal mean = 0","50","[47.772611377509826 -30.187647955777365]","[0 0]","false"
"26","1500","0.1","2","1","Normal mean = 0","50","[-50.00509602881576 -49.532943211069274]","[0 0]","false"
"28","1500","0.1","2","1","Normal mean = 0","50","[29.43480030940958 -25.478813902147632]","[0 0]","false"
"27","1500","0.1","2","1","Normal mean = 0","50","[7.726398276771048 3.655857879140944]","[0 0]","false"
"29","1500","0.1","2","1","Normal mean = 0","50","[3.0555772163077277 -39.86599235675388]","[0 0]","false"
"30","1500","0.1","2","1","Normal mean = 0","50","[8.269702455894189 45.637539820683266]","[0 0]","false"
"31","1500","0.1","2","1","Normal mean = 0","50","[39.62013817790946 73.32586207995747]","[0 0]","false"
"34","1500","0.1","2","1","Normal mean = 0","50","[25.076931916136708 -40.512245067539645]","[0 0]","false"
"35","1500","0.1","2","1","Normal mean = 0","50","[2.7767526039281742 70.18324484143824]","[0 0]","false"
"32","1500","0.1","2","1","Normal mean = 0","50","[26.041417112488265 13.407247241880818]","[0 0]","false"
"33","1500","0.1","2","1","Normal mean = 0","50","[10.205911961228876 -47.49398535889307]","[0 0]","false"
"36","1500","0.1","2","1","Normal mean = 0","50","[54.976883604460475 30.553758108380084]","[0 0]","false"
"37","1500","0.1","2","1","Normal mean = 0","50","[-11.644897913946085 26.361133333302654]","[0 0]","false"
"38","1500","0.1","2","1","Normal mean = 0","50","[17.730770524180837 -46.84638881862595]","[0 0]","false"
"39","1500","0.1","2","1","Normal mean = 0","50","[4.189679770723627 -14.86890611556998]","[0 0]","false"
"41","1500","0.1","2","1","Normal mean = 0","50","[-23.184150248733832 50.25066040271806]","[0 0]","false"
"42","1500","0.1","2","1","Normal mean = 0","50","[-15.896177910578503 30.943177728172547]","[0 0]","false"
"40","1500","0.1","2","1","Normal mean = 0","50","[30.284164157258598 4.510993030937698]","[0 0]","false"
"44","1500","0.1","2","1","Normal mean = 0","50","[48.375631603358585 24.247612479667666]","[0 0]","false"
"43","1500","0.1","2","1","Normal mean = 0","50","[-17.419996318816917 -58.6541822935373]","[0 0]","false"
"45","1500","0.1","2","1","Normal mean = 0","50","[-25.170250089025625 -14.797874464748983]","[0 0]","false"
"46","1500","0.1","2","1","Normal mean = 0","50","[-40.037449123751415 7.216354478760463]","[0 0]","false"
"47","1500","0.1","2","1","Normal mean = 0","50","[4.984387638211944 -62.418198353467304]","[0 0]","false"
"48","1500","0.1","2","1","Normal mean = 0","50","[12.781500448094434 -51.183881922586814]","[0 0]","false"
"49","1500","0.1","2","1","Normal mean = 0","50","[-3.107387667177477 3.401965965799654]","[0 0]","false"
"50","1500","0.1","2","1","Normal mean = 0","50","[1.6859472663522905 -7.980102495112887]","[0 0]","false"
"52","1500","0.1","2","1","Normal mean = 0","50","[75.80439520209934 -4.976529925455972]","[0 0]","false"
"51","1500","0.1","2","1","Normal mean = 0","50","[-7.078426110404252 6.349023324878848]","[0 0]","false"
"54","1500","0.1","2","1","Normal mean = 0","50","[9.288700942050655 -48.71471644932171]","[0 0]","false"
"53","1500","0.1","2","1","Normal mean = 0","50","[14.811018894068221 -21.64001645017573]","[0 0]","false"
"55","1500","0.1","2","1","Normal mean = 0","50","[-14.27607598046704 43.59509554545403]","[0 0]","false"
"57","1500","0.1","2","1","Normal mean = 0","50","[-20.943852176442483 18.90920524002576]","[0 0]","false"
"58","1500","0.1","2","1","Normal mean = 0","50","[-21.24647765093459 26.216572344887595]","[0 0]","false"
"59","1500","0.1","2","1","Normal mean = 0","50","[44.53677910646147 57.397996606326615]","[0 0]","false"
"56","1500","0.1","2","1","Normal mean = 0","50","[-43.57890834986535 -33.32051439691182]","[0 0]","false"
"60","1500","0.1","2","1","Normal mean = 0","50","[-19.13225185078097 -8.340923058775966]","[0 0]","false"
"61","1500","0.1","2","1","Normal mean = 0","50","[-8.09745979859243 -9.806515474006979]","[0 0]","false"
"62","1500","0.1","2","1","Normal mean = 0","50","[16.067791550153025 -46.62697857688048]","[0 0]","false"
"63","1500","0.1","2","1","Normal mean = 0","50","[-38.9418978917606 -15.555691121832519]","[0 0]","false"
"64","1500","0.1","2","1","Normal mean = 0","50","[14.475173622263098 21.996420095124154]","[0 0]","false"
"65","1500","0.1","2","1","Normal mean = 0","50","[-14.455534900686358 39.58574905387151]","[0 0]","false"
"69","1500","0.1","2","1","Normal mean = 0","50","[9.172681871249646 -27.800039879894626]","[0 0]","false"
"66","1500","0.1","2","1","Normal mean = 0","50","[41.66860462829701 46.08529481040955]","[0 0]","false"
"67","1500","0.1","2","1","Normal mean = 0","50","[-7.7559321435109725 14.626780005506715]","[0 0]","false"
"68","1500","0.1","2","1","Normal mean = 0","50","[29.25199108313696 3.0321176097209963]","[0 0]","false"
"70","1500","0.1","2","1","Normal mean = 0","50","[0.4707856645492779 14.885152207865184]","[0 0]","false"
"71","1500","0.1","2","1","Normal mean = 0","50","[-32.0254347855366 -25.819359446542226]","[0 0]","false"
"72","1500","0.1","2","1","Normal mean = 0","50","[-17.759409369575376 -21.94106698541639]","[0 0]","false"
"73","1500","0.1","2","1","Normal mean = 0","50","[-32.94265616488541 -23.284123326978925]","[0 0]","false"
"74","1500","0.1","2","1","Normal mean = 0","50","[4.303271310544218 -5.250977133876617]","[0 0]","false"
"75","1500","0.1","2","1","Normal mean = 0","50","[7.54521666918323 -21.525825924764256]","[0 0]","false"
"76","1500","0.1","2","1","Normal mean = 0","50","[-11.971492625050178 19.026672254788824]","[0 0]","false"
"77","1500","0.1","2","1","Normal mean = 0","50","[32.40584900769558 49.83336084245183]","[0 0]","false"
"78","1500","0.1","2","1","Normal mean = 0","50","[-4.0343904116749405 -37.852623500219075]","[0 0]","false"
"80","1500","0.1","2","1","Normal mean = 0","50","[12.144457910941227 -37.16782300720875]","[0 0]","false"
"81","1500","0.1","2","1","Normal mean = 0","50","[-17.47102475032464 40.301192426778556]","[0 0]","false"
"82","1500","0.1","2","1","Normal mean = 0","50","[-10.023671588334748 -4.40606367811747]","[0 0]","false"
"79","1500","0.1","2","1","Normal mean = 0","50","[36.089993882190164 21.530648816290718]","[0 0]","false"
"83","1500","0.1","2","1","Normal mean = 0","50","[49.939540089785005 1.667630509982187]","[0 0]","false"
"84","1500","0.1","2","1","Normal mean = 0","50","[-5.52080774138497 -28.77109972436693]","[0 0]","false"
"85","1500","0.1","2","1","Normal mean = 0","50","[4.028550247311486 1.530318268782192]","[0 0]","false"
"86","1500","0.1","2","1","Normal mean = 0","50","[40.511558201467736 -36.99728277236422]","[0 0]","false"
"89","1500","0.1","2","1","Normal mean = 0","50","[-7.633249746489861 -18.771087343504895]","[0 0]","false"
"88","1500","0.1","2","1","Normal mean = 0","50","[-68.69847528074153 24.93735328827866]","[0 0]","false"
"87","1500","0.1","2","1","Normal mean = 0","50","[-23.5827358023391 -13.244961106632726]","[0 0]","false"
"90","1500","0.1","2","1","Normal mean = 0","50","[-41.03875547837956 6.884063552227688]","[0 0]","false"
"92","1500","0.1","2","1","Normal mean = 0","50","[-3.4224196433957035 24.036927858592406]","[0 0]","false"
"91","1500","0.1","2","1","Normal mean = 0","50","[-0.0892233710369234 21.687858318310496]","[0 0]","false"
"93","1500","0.1","2","1","Normal mean = 0","50","[8.032010322897936 -3.333677670275597]","[0 0]","false"
"94","1500","0.1","2","1","Normal mean = 0","50","[7.751790938815351 -0.8401602702370381]","[0 0]","false"
