"BehaviorSpace results (NetLogo 6.1.0)"
"QVoting-DynamicPivotality.nlogo"
"Is payoff > 0 for a varied p?"
"07/02/2019 13:02:48:825 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","40"
"[run number]","number-of-voters","marginal-pivotality","voice-credits-given-per-tick","stdev-of-utilities","limit-votes?","variance-of-perceived-pivotality","mean-of-utilities","[step]","sum-of-votes","payoff >= 0"
"1","1000","0.3","0","2","false","0.25","0","0","0","true"
"2","1000","0.3","0","2","false","0.25","0","0","0","true"
"3","1000","0.3","0","2","false","0.25","0","0","0","true"
"4","1000","0.3","0","2","false","0.45","0","0","0","true"
"3","1000","0.3","0","2","false","0.25","0","1","-19.380865500173343","true"
"2","1000","0.3","0","2","false","0.25","0","1","4.928637782223433","false"
"4","1000","0.3","0","2","false","0.45","0","1","-10.17910241687764","true"
"1","1000","0.3","0","2","false","0.25","0","1","16.272686220186245","true"
"6","1000","0.3","0","2","false","0.45","0","0","0","true"
"6","1000","0.3","0","2","false","0.45","0","1","14.989875353691502","true"
"5","1000","0.3","0","2","false","0.45","0","0","0","true"
"5","1000","0.3","0","2","false","0.45","0","1","45.30656841445884","true"
"7","1000","0.3","0","2","false","0.65","0","0","0","true"
"8","1000","0.3","0","2","false","0.65","0","0","0","true"
"7","1000","0.3","0","2","false","0.65","0","1","10.419015831397786","true"
"8","1000","0.3","0","2","false","0.65","0","1","-41.22702727713116","true"
"9","1000","0.3","0","2","false","0.65","0","0","0","true"
"11","1000","0.3","0","2","false","0.85","0","0","0","true"
"9","1000","0.3","0","2","false","0.65","0","1","62.13158853360784","true"
"11","1000","0.3","0","2","false","0.85","0","1","21.43800619977614","true"
"10","1000","0.3","0","2","false","0.85","0","0","0","true"
"10","1000","0.3","0","2","false","0.85","0","1","0.1040975323672626","true"
"12","1000","0.3","0","2","false","0.85","0","0","0","true"
"12","1000","0.3","0","2","false","0.85","0","1","8.937820788975756","true"
"13","1000","0.3","0","4","false","0.25","0","0","0","true"
"14","1000","0.3","0","4","false","0.25","0","0","0","true"
"13","1000","0.3","0","4","false","0.25","0","1","89.50451800038508","true"
"14","1000","0.3","0","4","false","0.25","0","1","-33.575004905731646","true"
"15","1000","0.3","0","4","false","0.25","0","0","0","true"
"15","1000","0.3","0","4","false","0.25","0","1","-21.427568804729276","true"
"16","1000","0.3","0","4","false","0.45","0","0","0","true"
"16","1000","0.3","0","4","false","0.45","0","1","-25.233199523257667","false"
"18","1000","0.3","0","4","false","0.45","0","0","0","true"
"17","1000","0.3","0","4","false","0.45","0","0","0","true"
"18","1000","0.3","0","4","false","0.45","0","1","59.64606392223163","true"
"17","1000","0.3","0","4","false","0.45","0","1","-23.62643281017506","true"
"19","1000","0.3","0","4","false","0.65","0","0","0","true"
"19","1000","0.3","0","4","false","0.65","0","1","-3.0278343938811645","true"
"20","1000","0.3","0","4","false","0.65","0","0","0","true"
"20","1000","0.3","0","4","false","0.65","0","1","22.932673527441523","false"
"21","1000","0.3","0","4","false","0.65","0","0","0","true"
"22","1000","0.3","0","4","false","0.85","0","0","0","true"
