"BehaviorSpace results (NetLogo 6.1.0)"
"QVoting with Polling and Collusion.nlogo"
"QV-Collusion"
"08/14/2019 15:23:24:992 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-32","32","-32","32"
"[run number]","vote-portion-strategic","number-of-voters","proportion-of-strategic-voters","party-turtles-created-per-cycle","QV?","number-of-issues","utility-distribution","collusion-growth","[step]","[shapley-value] of party-turtles","mean [count link-neighbors] of party-turtles","[count link-neighbors] of party-turtles","count party-turtles","total-utility-gain","length map [x -> x > 0] total-utility-gain"
"1","0","10000","0","1","true","2","Normal mean = 0","1","0","[]","<RuntimePrimitiveException>","[]","0","[0 0]","2"
"4","0","10000","0","1","true","2","Normal mean = 0","1","0","[]","<RuntimePrimitiveException>","[]","0","[0 0]","2"
"3","0","10000","0","1","true","2","Normal mean = 0","1","0","[]","<RuntimePrimitiveException>","[]","0","[0 0]","2"
"2","0","10000","0","1","true","2","Normal mean = 0","1","0","[]","<RuntimePrimitiveException>","[]","0","[0 0]","2"
"4","0","10000","0","1","true","2","Normal mean = 0","1","1","[0]","1","[1]","1","[-7.446936295104468 8.602468751704505]","2"
"3","0","10000","0","1","true","2","Normal mean = 0","1","1","[0]","1","[1]","1","[-9.19003039408567 42.97353328057693]","2"
"2","0","10000","0","1","true","2","Normal mean = 0","1","1","[0]","1","[1]","1","[-6.122265617171879 18.032415643206036]","2"
"1","0","10000","0","1","true","2","Normal mean = 0","1","1","[0]","1","[1]","1","[12.117840075699302 -6.248016447169207]","2"
"4","0","10000","0","1","true","2","Normal mean = 0","1","2","[[0.5141563829168941 0.1368164732391272] 0]","1.5","[2 1]","2","[-7.446936295104435 8.602468751704574]","2"
"2","0","10000","0","1","true","2","Normal mean = 0","1","2","[[-0.6989318729752152 -0.5437548461571131] 0]","1.5","[2 1]","2","[-6.12226561717183 18.03241564320596]","2"
"1","0","10000","0","1","true","2","Normal mean = 0","1","2","[[0.3499092130998105 0.0600274107345439] 0]","1.5","[2 1]","2","[12.117840075699332 -6.248016447169212]","2"
"3","0","10000","0","1","true","2","Normal mean = 0","1","2","[[-0.2937669934340572 0.17256934000328802] 0]","1.5","[2 1]","2","[-9.190030394085632 42.973533280576746]","2"
"4","0","10000","0","1","true","2","Normal mean = 0","1","3","[[0.42080375114865193 0.2188953213489202] [0.15670522138324902 0.10207999878248275] 0]","2","[3 2 1]","3","[-7.44693629510446 8.602468751704478]","2"
