"BehaviorSpace results (NetLogo 6.1.0)"
"QVoting with Polling.nlogo"
"does-polling-converge"
"08/06/2019 10:32:16:004 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-32","32","-32","32"
"[run number]","number-of-voters","proportion-of-strategic-voters","vote-portion-strategic","number-of-issues","poll-response-rate","utility-distribution","[step]","poll","total-utility-gain","maximal-utility?"
"9","1500","0.1","1","2","1","Normal mean = 0","50","[36.45959302707746 48.81246027336457]","[6.451206775314408 9.118366816914769]","true"
"10","1500","0.1","1","2","1","Normal mean = 0","50","[33.312512773439316 -7.629603850701688]","[11.645663132715669 11.53616750143676]","true"
"11","1500","0.1","1","2","1","Normal mean = 0","50","[8.374408739473893 -38.17015038719735]","[5.8495753661314716 7.780643493287438]","true"
"2","1500","0.1","1","2","1","Normal mean = 0","50","[12.104134255811244 -18.418492728569333]","[5.60599795167617 5.282329690330452]","true"
"4","1500","0.1","1","2","1","Normal mean = 0","50","[-61.03359892739573 0.5862463736002527]","[15.49340209387979 -6.966533107903651]","false"
"1","1500","0.1","1","2","1","Normal mean = 0","50","[-61.3178234237684 -4.238298294978534]","[9.697183599479388 3.69974293449328]","true"
"7","1500","0.1","1","2","1","Normal mean = 0","50","[3.356918974257609 7.429205447556063]","[5.305394826328401 -3.5305588410527466]","false"
"3","1500","0.1","1","2","1","Normal mean = 0","50","[-2.8448974169891104 -9.467144471015867]","[3.0605279520544753 -3.260107776943371]","false"
"6","1500","0.1","1","2","1","Normal mean = 0","50","[-14.060066931211288 -19.15649133807623]","[4.059723087782878 7.859365824859601]","true"
"8","1500","0.1","1","2","1","Normal mean = 0","50","[4.84368153965549 -2.6981299972249135]","[-5.1299702380717385 -1.244872175915645]","false"
"12","1500","0.1","1","2","1","Normal mean = 0","50","[44.92766854866581 29.95443392514364]","[13.68210583923028 5.413159949383011]","true"
"5","1500","0.1","1","2","1","Normal mean = 0","50","[18.218612119908837 -54.74898838639928]","[9.702482763587259 16.28222015139755]","true"
"13","1500","0.1","1","2","1","Normal mean = 0","50","[53.71614366221534 -10.425587699448908]","[3.1672571733265054 3.224999794699543]","true"
"14","1500","0.1","1","2","1","Normal mean = 0","50","[22.192310689577234 47.795130071320806]","[7.600294823342463 16.82875516465673]","true"
"15","1500","0.1","1","2","1","Normal mean = 0","50","[30.821597714084973 17.172880144504788]","[12.315296939264396 9.165944038371087]","true"
"16","1500","0.1","1","2","1","Normal mean = 0","50","[-13.130709162080608 12.10197707535995]","[-2.579712715588335 6.044942141799601]","false"
"17","1500","0.1","1","2","1","Normal mean = 0","50","[-41.87802148765182 -5.470804385852041]","[2.4065046777356245 -2.794964274371113]","false"
"18","1500","0.1","1","2","1","Normal mean = 0","50","[-5.552834701982269 -23.03033414444107]","[1.6809499215752568 2.381977255344597]","true"
"23","1500","0.1","1","2","1","Normal mean = 0","50","[48.117291102777585 30.07736601353442]","[13.354466950544245 9.422213463882587]","true"
"22","1500","0.1","1","2","1","Normal mean = 0","50","[-29.57140024910894 -25.57586962122293]","[6.72607419865088 2.9254019932683533]","true"
